chart_group_id,dashboard_path,sheet,measure,fuel_label,chart_file,section_id,section_label,entry_kind,exposed_in_dashboard
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Fuelwood___woodwaste.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Fuelwood & woodwaste,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Fuelwood___woodwaste.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Gas_coke.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Gas coke,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Gas_coke.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Gas_diesel_oil.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Gas/diesel oil,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Gas_diesel_oil.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Heat.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Heat,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Heat.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Hydrogen.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Hydrogen,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Hydrogen.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Industrial_waste.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Industrial waste,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Industrial_waste.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__LPG.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),LPG,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__LPG.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Municipal solid waste (non-renewable),charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Municipal_solid_waste__renewable.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Municipal solid waste (renewable),charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Municipal_solid_waste__renewable.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Natural_gas.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Natural gas,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Natural_gas.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_biomass.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Other biomass,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_biomass.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_bituminous_coal.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Other bituminous coal,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_bituminous_coal.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_liquid_biofuels.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Other liquid biofuels,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_liquid_biofuels.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_recovered_gases.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Other recovered gases,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_recovered_gases.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_sources.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Other sources,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_sources.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Others.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Others,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Others.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Patent_fuel.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Patent fuel,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Patent_fuel.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Solid_biomass.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Solid biomass,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Solid_biomass.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Sub-bituminous_coal.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Sub-bituminous coal,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Sub-bituminous_coal.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Total.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Total,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Total.html,sec-Industry_sector,Industry sector,direct,False
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Anthracite.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Anthracite,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Anthracite.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Aviation_gasoline.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Aviation gasoline,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Aviation_gasoline.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Bagasse.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Bagasse,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Bagasse.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Bio_jet_kerosene.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Bio jet kerosene,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Bio_jet_kerosene.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Biodiesel.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Biodiesel,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Biodiesel.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Biogas.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Biogas,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Biogas.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Biogasoline.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Biogasoline,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Biogasoline.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Bitumen.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Bitumen,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Bitumen.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Black_liqour.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Black liqour,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Black_liqour.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Charcoal.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Charcoal,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Charcoal.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Coal_nonspecified.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Coal nonspecified,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Coal_nonspecified.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Electricity.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Electricity,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Electricity.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Ethane.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Ethane,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Ethane.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Fuel_oil.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Fuel oil,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Fuel_oil.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Fuelwood___woodwaste.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Fuelwood & woodwaste,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Fuelwood___woodwaste.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Gas_diesel_oil.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Gas/diesel oil,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Gas_diesel_oil.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Gasoline_type_jet_fuel.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Gasoline type jet fuel,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Gasoline_type_jet_fuel.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Heat.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Heat,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Heat.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Industrial_waste.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Industrial waste,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Industrial_waste.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Kerosene.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Kerosene,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Kerosene.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Kerosene_type_jet_fuel.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Kerosene type jet fuel,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Kerosene_type_jet_fuel.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__LPG.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),LPG,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__LPG.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Lignite.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Lignite,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Lignite.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Lubricants.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Lubricants,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Lubricants.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Municipal solid waste (non-renewable),charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Municipal_solid_waste__renewable.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Municipal solid waste (renewable),charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Municipal_solid_waste__renewable.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Naphtha.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Naphtha,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Naphtha.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Natural_gas.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Natural gas,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Natural_gas.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Other_biomass.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Other biomass,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Other_biomass.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Other_bituminous_coal.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Other bituminous coal,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Other_bituminous_coal.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Other_liquid_biofuels.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Other liquid biofuels,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Other_liquid_biofuels.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Other_products.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Other products,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Other_products.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Other_sources.html,Industry,esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Other sources,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Other_sources.html,sec-Industry_sector,Industry sector,direct,True
